,prediction
3300020344_18,aerobe
3300011249_2,aerobe
3300011196_1,aerobe
3300029213_16,anaerobe
3300027839_61,anaerobe
3300028397_4,aerobe
3300021843_70,anaerobe
3300029558_13,anaerobe
3300019372_8,anaerobe
3300006477_13,anaerobe
3300020731_9,anaerobe
3300029343_39,anaerobe
3300025649_20,anaerobe
3300010274_12,anaerobe
3300026906_10,anaerobe
3300008326_13,anaerobe
3300029595_13,anaerobe
3300007208_12,anaerobe
3300010396_63,aerobe
3300014540_5,anaerobe
3300021326_27,anaerobe
3300008302_2,facultative
3300029377_13,anaerobe
3300014751_5,anaerobe
3300029451_8,anaerobe
3300026299_15,aerobe
3300027618_3,aerobe
3300007797_11,anaerobe
3300028602_56,anaerobe
3300025838_30,anaerobe
3300018065_39,anaerobe
3300027276_11,anaerobe
3300000171_2,anaerobe
3300026272_3,aerobe
3300007793_8,anaerobe
3300014625_2,anaerobe
3300025601_3,aerobe
3300011867_4,anaerobe
3300025442_9,aerobe
3300017991_47,anaerobe
3300029421_11,anaerobe
3300026509_30,anaerobe
3300020406_23,anaerobe
3300025629_45,anaerobe
3300007105_4,anaerobe
3300008515_16,anaerobe
3300025452_20,anaerobe
3300006038_23,anaerobe
3300026874_6,aerobe
3300028283_27,anaerobe
3300025961_23,aerobe
3300025596_16,anaerobe
3300013133_141,anaerobe
3300027850_22,aerobe
3300020463_36,anaerobe
3300011719_1,aerobe
3300007566_25,anaerobe
3300009381_8,facultative
3300012826_9,facultative
3300010373_19,aerobe
3300025682_87,facultative
3300018016_11,anaerobe
3300025230_1,aerobe
3300008283_26,anaerobe
3300024935_7,aerobe
3300025244_5,aerobe
3300002308_9,anaerobe
3300000266_3,aerobe
3300007316_37,anaerobe
3300025847_49,anaerobe
3300009503_170,anaerobe
3300025485_1,anaerobe
3300025632_6,aerobe
3300029842_27,anaerobe
3300018910_10,aerobe
3300008505_15,anaerobe
3300014057_19,anaerobe
3300027351_8,aerobe
3300028567_66,anaerobe
3300025897_29,aerobe
3300029707_14,anaerobe
3300001915_4,aerobe
3300029362_9,anaerobe
3300023184_27,aerobe
3300029668_10,anaerobe
3300027328_18,aerobe
3300020219_20,aerobe
3300026016_2,anaerobe
3300002702_10,anaerobe
3300029444_34,anaerobe
3300014208_73,anaerobe
3300020398_8,aerobe
3300029771_10,anaerobe
3300014060_72,anaerobe
3300012082_13,anaerobe
3300029734_24,anaerobe
3300025830_23,aerobe
3300021375_18,aerobe
3300008541_21,facultative
3300024256_14,aerobe
3300029783_24,anaerobe
3300021471_9,anaerobe
3300013105_95,anaerobe
3300029690_25,anaerobe
3300029595_32,anaerobe
3300011824_7,anaerobe
3300008056_2,facultative
3300025375_6,anaerobe
3300024258_24,anaerobe
3300027697_29,anaerobe
3300029843_22,anaerobe
3300027728_38,anaerobe
3300007806_6,anaerobe
3300006931_37,anaerobe
3300022602_23,aerobe
3300008300_2,anaerobe
3300014886_17,anaerobe
3300025303_12,aerobe
3300024329_10,aerobe
3300029681_19,anaerobe
3300018023_27,anaerobe
3300025631_7,anaerobe
3300026825_13,aerobe
3300029590_39,anaerobe
3300011668_2,facultative
3300011633_2,aerobe
3300002468_14,aerobe
3300029904_20,anaerobe
3300007035_7,anaerobe
3300020200_100,anaerobe
3300027962_9,aerobe
3300008743_12,anaerobe
3300009343_7,anaerobe
3300009702_80,aerobe
3300029501_6,anaerobe
3300001567_19,facultative
3300010265_27,anaerobe
3300007519_13,aerobe
3300014919_6,anaerobe
3300029108_12,anaerobe
3300008743_17,anaerobe
3300008363_15,facultative
3300029719_27,anaerobe
3300025649_14,anaerobe
3300025589_22,anaerobe
3300017990_22,anaerobe
3300013886_5,anaerobe
3300012192_2,aerobe
3300026289_15,anaerobe
3300029439_19,anaerobe
3300025724_40,anaerobe
3300008581_12,anaerobe
3300010354_74,aerobe
3300005262_13,aerobe
3300012824_5,aerobe
3300018892_4,aerobe
3300020733_2,facultative
3300013125_75,anaerobe
3300020477_54,aerobe
3300008716_26,anaerobe
3300011588_1,aerobe
3300025877_36,anaerobe
3300022741_7,aerobe
3300029840_21,anaerobe
3300013190_2,anaerobe
3300021843_30,anaerobe
3300012265_9,anaerobe
3300017494_11,anaerobe
3300010262_12,anaerobe
3300010265_39,anaerobe
3300025452_7,facultative
3300012112_3,anaerobe
3300013717_1,aerobe
3300025440_6,aerobe
3300029494_31,anaerobe
3300017518_41,anaerobe
3300025622_47,anaerobe
3300020263_18,anaerobe
3300012270_6,aerobe
3300011146_1,aerobe
3300029647_9,anaerobe
3300008486_35,anaerobe
3300029105_6,anaerobe
3300029671_10,anaerobe
3300026519_68,anaerobe
3300011977_24,anaerobe
3300021604_12,facultative
3300011737_2,aerobe
3300017697_18,anaerobe
3300027283_75,aerobe
3300008063_22,anaerobe
3300027147_5,aerobe
3300025683_13,aerobe
3300011500_3,aerobe
3300017697_16,anaerobe
3300024329_6,aerobe
3300014887_40,anaerobe
3300029634_12,anaerobe
3300006461_6,anaerobe
3300027607_48,aerobe
3300026270_12,anaerobe
3300017470_11,anaerobe
3300025691_27,anaerobe
3300025809_60,aerobe
3300017395_14,anaerobe
3300025870_31,anaerobe
3300007360_6,anaerobe
3300011146_5,aerobe
3300004630_7,anaerobe
3300007722_43,aerobe
3300029218_16,anaerobe
3300014523_3,anaerobe
3300025065_7,aerobe
3300029610_29,anaerobe
3300029595_17,anaerobe
3300009702_59,anaerobe
3300012115_8,anaerobe
3300008472_11,anaerobe
3300010151_9,anaerobe
3300006457_11,anaerobe
3300011772_7,anaerobe
3300025869_32,anaerobe
3300020222_90,anaerobe
3300017395_12,anaerobe
3300020400_25,facultative
3300007802_7,anaerobe
3300021486_5,anaerobe
3300028624_17,anaerobe
3300025789_7,anaerobe
3300025878_1,aerobe
3300017419_18,anaerobe
3300000568_36,anaerobe
3300029710_30,anaerobe
3300007109_13,anaerobe
3300010037_9,aerobe
3300017688_4,aerobe
3300028973_1,facultative
3300023094_7,aerobe
3300027791_33,anaerobe
3300021400_81,anaerobe
3300028559_49,aerobe
3300009702_28,aerobe
3300015199_8,aerobe
3300029793_16,anaerobe
3300027679_7,anaerobe
3300011631_2,aerobe
3300017938_23,anaerobe
3300027325_24,aerobe
3300020352_5,aerobe
3300024355_3,anaerobe
3300025849_38,aerobe
3300029755_13,anaerobe
3300027828_70,aerobe
3300012521_16,anaerobe
3300021424_46,anaerobe
3300029769_19,anaerobe
3300012889_31,anaerobe
3300026762_2,anaerobe
3300012125_5,aerobe
3300021488_2,aerobe
3300025702_47,anaerobe
3300014832_13,anaerobe
3300013132_90,aerobe
3300006460_34,anaerobe
3300026267_14,anaerobe
3300025421_4,anaerobe
3300017505_17,aerobe
3300010269_6,anaerobe
3300029373_12,anaerobe
3300025727_38,anaerobe
3300024058_18,anaerobe
3300020128_8,facultative
3300011997_21,anaerobe
3300024309_7,aerobe
3300025897_53,anaerobe
3300025623_16,anaerobe
3300015360_71,anaerobe
3300021343_14,aerobe
3300012194_2,aerobe
3300028398_31,anaerobe
3300011206_2,aerobe
3300011586_3,aerobe
3300009540_44,anaerobe
3300026202_12,anaerobe
3300029256_18,anaerobe
3300014769_5,anaerobe
3300029737_14,anaerobe
3300025161_40,facultative
3300010399_30,aerobe
3300025487_13,anaerobe
3300027672_20,facultative
3300027340_7,aerobe
3300025459_6,anaerobe
3300011196_3,aerobe
3300029098_20,anaerobe
3300025396_7,anaerobe
3300029422_19,anaerobe
3300027751_17,aerobe
3300007297_17,facultative
3300020139_24,anaerobe
3300014963_31,anaerobe
3300025870_19,facultative
3300007128_1,anaerobe
3300027279_15,aerobe
3300025250_5,aerobe
3300011933_16,anaerobe
3300025648_16,anaerobe
3300006258_3,anaerobe
3300007043_8,anaerobe
3300029379_32,anaerobe
3300010267_5,aerobe
3300020463_18,aerobe
3300021318_16,anaerobe
3300025677_24,anaerobe
3300027815_97,anaerobe
3300020364_18,anaerobe
3300027759_33,anaerobe
3300006320_16,anaerobe
3300029056_11,anaerobe
3300006563_2,facultative
3300009702_112,anaerobe
3300010278_22,anaerobe
3300025503_55,anaerobe
3300010265_36,anaerobe
3300027284_10,aerobe
3300013103_99,anaerobe
3300029321_10,anaerobe
3300005689_4,anaerobe
3300008103_25,anaerobe
3300014806_18,anaerobe
3300026478_1,aerobe
3300027712_12,facultative
3300012846_7,aerobe
3300007339_8,facultative
3300013131_70,aerobe
3300012272_4,aerobe
3300025640_25,aerobe
3300025797_3,aerobe
3300011929_2,aerobe
3300014109_22,anaerobe
3300017971_108,anaerobe
3300024218_3,aerobe
3300021134_7,anaerobe
3300017548_12,anaerobe
3300029487_21,anaerobe
3300020381_10,aerobe
3300008518_33,anaerobe
3300029901_16,aerobe
3300025949_30,aerobe
3300029578_27,anaerobe
3300026278_7,anaerobe
3300027649_23,anaerobe
3300027820_21,aerobe
3300018878_122,anaerobe
3300014530_7,anaerobe
3300028299_27,anaerobe
3300011379_2,aerobe
3300020580_5,aerobe
3300029221_12,anaerobe
3300011966_4,anaerobe
3300000347_2,aerobe
3300025546_28,anaerobe
3300000226_17,anaerobe
3300029520_10,anaerobe
3300020377_21,anaerobe
3300029428_30,anaerobe
3300013137_196,anaerobe
3300022377_9,anaerobe
3300029074_4,anaerobe
3300008081_7,anaerobe
3300025700_34,anaerobe
3300008715_8,anaerobe
3300010262_4,anaerobe
3300007362_13,anaerobe
3300024299_8,anaerobe
3300006566_14,facultative
3300026080_5,aerobe
3300027770_33,anaerobe
3300019371_10,anaerobe
3300017400_40,anaerobe
3300027325_11,aerobe
3300012824_6,aerobe
3300006186_15,anaerobe
3300017529_4,anaerobe
3300007925_25,anaerobe
3300027366_7,facultative
3300027554_16,facultative
3300008561_8,anaerobe
3300026086_15,anaerobe
3300028990_5,anaerobe
3300010281_19,anaerobe
3300029031_6,anaerobe
3300025253_4,aerobe
3300020477_75,anaerobe
3300024258_26,anaerobe
3300029070_6,anaerobe
3300025097_5,aerobe
3300007208_11,anaerobe
3300006676_3,facultative
3300014886_16,anaerobe
3300009503_321,anaerobe
3300029295_15,anaerobe
3300028633_21,anaerobe
3300026237_10,facultative
3300014693_1,aerobe
3300008514_14,anaerobe
3300025577_21,anaerobe
3300000235_7,anaerobe
3300025303_15,aerobe
3300011732_1,facultative
3300012018_15,aerobe
3300020369_9,aerobe
3300014720_33,anaerobe
3300020603_95,anaerobe
3300025641_9,aerobe
3300014831_14,anaerobe
3300029572_22,anaerobe
3300027157_7,aerobe
3300013598_1,anaerobe
3300022661_60,anaerobe
3300000154_14,anaerobe
3300014964_9,anaerobe
3300020469_12,aerobe
3300027770_3,aerobe
3300026255_15,anaerobe
3300018424_62,aerobe
3300025488_34,anaerobe
3300029384_17,anaerobe
3300025900_11,aerobe
3300014540_3,anaerobe
3300029326_7,anaerobe
3300020447_19,anaerobe
3300027704_17,aerobe
3300025047_1,aerobe
3300006249_14,anaerobe
3300011907_5,facultative
3300012999_25,aerobe
3300025364_2,facultative
3300009779_108,anaerobe
3300012555_1,anaerobe
3300020378_9,aerobe
3300022661_135,anaerobe
3300021126_3,anaerobe
3300024334_10,anaerobe
3300024302_31,anaerobe
3300008098_19,anaerobe
3300005529_94,anaerobe
3300014951_17,facultative
3300027863_195,anaerobe
3300013980_1,aerobe
3300027917_45,anaerobe
3300013125_107,anaerobe
3300027342_3,aerobe
3300006487_3,anaerobe
3300025420_2,aerobe
3300029326_11,anaerobe
3300007194_15,anaerobe
3300024939_3,aerobe
3300027555_11,anaerobe
3300027983_69,anaerobe
3300026287_15,facultative
3300007969_9,anaerobe
3300013132_16,aerobe
3300020109_46,anaerobe
3300008480_24,facultative
3300007924_4,anaerobe
3300028571_75,facultative
3300012016_20,anaerobe
3300028640_18,anaerobe
3300023054_4,aerobe
3300029713_40,anaerobe
3300024042_8,facultative
3300006295_3,anaerobe
3300029862_26,anaerobe
3300020202_17,anaerobe
3300007498_15,anaerobe
3300013996_1,aerobe
3300025479_4,aerobe
3300017426_37,aerobe
3300020057_22,aerobe
3300029243_28,anaerobe
3300026031_2,anaerobe
3300011522_3,aerobe
3300025611_16,anaerobe
3300012136_4,facultative
3300029331_22,anaerobe
3300008534_4,anaerobe
3300020327_20,anaerobe
3300027983_73,anaerobe
3300029850_9,anaerobe
3300011883_2,facultative
3300024922_7,aerobe
3300007300_37,anaerobe
3300008734_53,anaerobe
3300014152_20,anaerobe
3300017513_28,anaerobe
3300026968_2,aerobe
3300023233_5,facultative
3300027462_1,aerobe
3300007305_24,anaerobe
3300025737_72,anaerobe
3300027593_4,aerobe
3300010339_25,anaerobe
3300005985_34,facultative
3300025709_46,anaerobe
3300025503_46,anaerobe
3300015370_54,anaerobe
3300003364_4,aerobe
3300029445_39,anaerobe
3300017426_31,aerobe
3300026311_74,anaerobe
3300025856_21,anaerobe
3300012879_2,aerobe
3300007297_12,anaerobe
3300017992_52,anaerobe
3300012078_5,facultative
3300011593_3,anaerobe
3300011799_4,aerobe
3300019374_14,anaerobe
3300022753_118,anaerobe
3300013732_1,aerobe
3300008705_3,anaerobe
3300011992_7,aerobe
3300025699_21,aerobe
3300025659_43,anaerobe
3300017655_17,aerobe
3300029893_16,anaerobe
3300011463_1,facultative
3300029510_15,anaerobe
3300002174_63,anaerobe
3300029393_14,anaerobe
3300029610_33,anaerobe
3300029821_8,aerobe
3300028568_19,anaerobe
3300028629_21,anaerobe
3300014913_9,aerobe
3300021431_46,anaerobe
3300003686_2,anaerobe
3300025882_27,aerobe
3300029634_5,anaerobe
3300008732_10,anaerobe
3300022181_14,anaerobe
3300020603_67,aerobe
3300025505_6,anaerobe
3300027839_78,anaerobe
3300020214_30,aerobe
3300014531_9,anaerobe
3300021400_87,anaerobe
3300009084_171,anaerobe
3300029442_15,anaerobe
3300011186_2,aerobe
3300012833_9,aerobe
3300002308_10,anaerobe
3300025661_15,anaerobe
3300029181_7,anaerobe
3300027958_46,anaerobe
3300005460_43,anaerobe
3300025478_26,anaerobe
3300024238_2,aerobe
3300029874_30,facultative
3300025253_20,aerobe
3300025815_7,aerobe
3300007108_5,anaerobe
3300028989_7,anaerobe
3300020168_48,anaerobe
3300013356_1,facultative
3300029815_16,anaerobe
3300027354_5,aerobe
3300025986_18,aerobe
3300014911_35,anaerobe
3300026509_4,aerobe
3300020677_2,anaerobe
3300027155_11,anaerobe
3300026516_41,aerobe
3300029016_7,anaerobe
3300025882_57,anaerobe
3300001096_20,anaerobe
3300014941_6,anaerobe
3300020220_65,anaerobe
3300029547_13,anaerobe
3300012089_5,aerobe
3300025879_13,anaerobe
3300018065_20,anaerobe
3300027712_23,anaerobe
3300025702_9,anaerobe
3300026303_11,aerobe
3300014793_8,anaerobe
3300029356_10,anaerobe
3300029332_17,anaerobe
3300013126_104,anaerobe
3300009381_6,anaerobe
3300006226_86,anaerobe
3300008091_17,anaerobe
3300012136_9,anaerobe
3300025047_8,aerobe
3300005086_9,anaerobe
3300025064_1,aerobe
3300027205_1,aerobe
3300000062_7,anaerobe
3300022868_7,anaerobe
3300027690_34,anaerobe
3300000059_8,anaerobe
3300012036_10,aerobe
3300024971_8,aerobe
3300025297_22,aerobe
3300026290_57,anaerobe
3300020214_80,anaerobe
3300021387_69,anaerobe
3300029857_44,anaerobe
3300025425_7,aerobe
3300017398_24,anaerobe
3300027716_6,anaerobe
3300009083_78,aerobe
3300020309_8,anaerobe
3300024221_3,aerobe
3300020266_16,anaerobe
3300027681_5,aerobe
3300015207_29,aerobe
3300007722_22,aerobe
3300018878_108,anaerobe
2081372013_1,anaerobe
3300008637_2,anaerobe
3300018430_121,anaerobe
3300012044_11,aerobe
3300012153_12,facultative
3300007732_7,anaerobe
3300013126_6,aerobe
3300007669_14,anaerobe
3300014208_164,anaerobe
3300013137_61,anaerobe
3300020351_11,anaerobe
3300009767_42,anaerobe
3300027736_28,anaerobe
3300027026_12,aerobe
3300017938_21,anaerobe
3300025857_8,aerobe
3300027833_14,aerobe
3300025619_20,anaerobe
3300021468_30,anaerobe
3300028048_61,anaerobe
3300027211_8,anaerobe
3300014914_46,anaerobe
3300027137_13,anaerobe
3300008715_17,anaerobe
3300027910_3,aerobe
3300020477_62,anaerobe
3300025659_23,aerobe
3300028029_5,aerobe
3300028968_8,anaerobe
3300026286_9,aerobe
3300025708_11,anaerobe
3300011628_3,aerobe
3300027282_5,aerobe
3300029844_28,anaerobe
3300021093_72,anaerobe
3300025547_13,anaerobe
3300029220_18,anaerobe
3300008556_5,anaerobe
3300025502_28,anaerobe
3300014793_6,anaerobe
3300008626_7,facultative
3300000839_73,anaerobe
3300008334_6,facultative
3300014911_16,anaerobe
3300017650_9,aerobe
3300017419_3,aerobe
3300029020_19,anaerobe
3300029380_36,anaerobe
3300029587_27,anaerobe
3300017398_8,anaerobe
3300029416_24,anaerobe
3300029227_11,anaerobe
3300007096_8,anaerobe
3300015360_85,aerobe
3300012184_5,facultative
3300007802_10,anaerobe
3300010282_8,anaerobe
3300029491_11,anaerobe
3300008382_3,facultative
3300013850_1,facultative
3300021603_27,anaerobe
3300020138_6,aerobe
3300011157_4,anaerobe
3300006253_42,anaerobe
3300012148_9,anaerobe
3300013925_3,anaerobe
3300025529_16,aerobe
3300020262_20,anaerobe
3300011979_4,anaerobe
3300025047_2,aerobe
3300022828_2,anaerobe
3300008571_17,anaerobe
3300029614_22,anaerobe
3300025622_25,anaerobe
3300029365_33,anaerobe
3300025728_22,aerobe
3300009770_51,anaerobe
3300022912_15,aerobe
3300014747_4,anaerobe
3300026229_2,aerobe
3300012147_2,aerobe
3300021288_6,anaerobe
3300020393_15,aerobe
3300017513_40,anaerobe
3300010428_31,anaerobe
3300026299_7,aerobe
3300025672_6,aerobe
3300024259_24,aerobe
3300013771_15,anaerobe
3300028287_26,anaerobe
3300022908_5,aerobe
3300024914_6,aerobe
3300011947_2,aerobe
3300027744_25,anaerobe
3300026254_12,anaerobe
3300026511_10,aerobe
3300007991_3,anaerobe
3300027090_1,aerobe
3300028961_6,anaerobe
3300011626_2,facultative
3300029186_11,anaerobe
3300020695_2,facultative
3300025877_70,anaerobe
3300017429_21,anaerobe
3300027391_35,anaerobe
3300025028_1,aerobe
3300023254_8,anaerobe
3300025935_13,aerobe
3300029745_22,anaerobe
3300023179_30,aerobe
3300021399_44,anaerobe
3300023091_9,anaerobe
3300013123_163,anaerobe
3300013130_100,anaerobe
3300013100_31,facultative
3300012033_3,aerobe
3300012956_48,aerobe
3300029577_24,anaerobe
3300014935_8,anaerobe
3300029496_26,anaerobe
3300011917_3,facultative
3300029331_25,anaerobe
3300025924_14,aerobe
3300001096_15,anaerobe
3300025216_3,aerobe
3300014040_8,anaerobe
3300008275_8,anaerobe
3300007746_2,facultative
3300027751_20,facultative
3300029855_16,anaerobe
3300005647_9,aerobe
3300025471_37,anaerobe
3300025686_56,anaerobe
3300014794_6,anaerobe
3300013125_67,anaerobe
3300025105_50,anaerobe
3300021254_83,anaerobe
3300029788_31,anaerobe
3300025564_5,aerobe
3300027844_56,anaerobe
3300027863_320,anaerobe
3300029540_25,anaerobe
3300026196_6,aerobe
3300018427_70,anaerobe
3300025498_10,aerobe
3300020401_8,aerobe
3300026549_79,anaerobe
3300008636_7,anaerobe
3300029358_7,anaerobe
3300029751_5,facultative
3300027222_5,facultative
3300012521_30,anaerobe
3300029818_5,aerobe
3300009083_36,aerobe
3300008326_17,anaerobe
3300013131_33,anaerobe
3300025720_28,facultative
3300012845_12,aerobe
3300025724_21,anaerobe
3300029531_15,anaerobe
3300025727_12,aerobe
3300020429_12,anaerobe
3300014919_4,facultative
3300029360_32,anaerobe
3300018430_47,anaerobe
3300008154_6,anaerobe
3300025373_9,anaerobe
3300024927_3,aerobe
3300011683_3,facultative
3300018025_19,aerobe
3300014159_15,anaerobe
3300025503_30,facultative
3300007210_13,anaerobe
3300012278_2,anaerobe
3300010274_15,anaerobe
3300012942_91,anaerobe
3300000212_24,anaerobe
3300025772_38,anaerobe
3300014803_19,anaerobe
3300025881_45,facultative
3300027687_12,aerobe
3300027823_31,aerobe
3300010167_40,facultative
3300014826_12,anaerobe
3300025705_31,anaerobe
3300007184_18,anaerobe
3300007519_81,aerobe
3300029233_6,anaerobe
3300010167_34,anaerobe
3300020406_29,anaerobe
3300020705_6,anaerobe
3300029855_8,anaerobe
3300008348_5,anaerobe
3300020364_55,anaerobe
3300029492_22,anaerobe
3300024903_6,aerobe
3300027302_9,anaerobe
3300026262_35,anaerobe
3300012816_8,aerobe
3300027627_18,anaerobe
3300021843_38,anaerobe
3300007210_24,anaerobe
3300025812_14,anaerobe
3300029842_26,anaerobe
3300029770_31,anaerobe
3300029821_34,anaerobe
3300017964_38,aerobe
3300029240_27,anaerobe
3300029580_23,anaerobe
3300020187_32,aerobe
3300018430_50,anaerobe
3300020220_29,aerobe
3300025671_4,aerobe
3300017518_40,facultative
3300021426_80,anaerobe
3300012815_1,facultative
3300005298_5,anaerobe
3300025249_1,aerobe
3300020184_42,anaerobe
3300011158_3,facultative
3300027834_36,aerobe
3300027760_9,aerobe
3300005615_15,aerobe
3300025706_22,anaerobe
3300028601_27,anaerobe
3300025094_17,aerobe
3300027980_34,aerobe
3300027863_243,anaerobe
3300023231_2,aerobe
3300008383_9,anaerobe
3300027968_56,facultative
3300005286_30,aerobe
3300020285_2,facultative
3300029782_37,anaerobe
3300011138_3,anaerobe
3300025684_44,anaerobe
3300008080_27,anaerobe
3300027600_7,anaerobe
3300020297_7,anaerobe
3300020694_5,anaerobe
3300014356_2,facultative
3300012270_3,aerobe
3300020582_7,aerobe
3300009703_15,aerobe
3300027983_51,anaerobe
3300020055_44,anaerobe
3300025044_14,aerobe
3300012165_2,anaerobe
3300008101_41,anaerobe
3300029303_11,anaerobe
3300000362_36,anaerobe
3300009503_297,anaerobe
3300014037_36,anaerobe
3300027848_23,aerobe
3300000839_56,anaerobe
3300029118_13,anaerobe
3300014779_3,anaerobe
3300025720_37,anaerobe
3300029769_20,anaerobe
3300027492_9,aerobe
3300018917_9,aerobe
3300008405_3,anaerobe
3300007360_12,anaerobe
3300010428_6,anaerobe
3300013137_75,anaerobe
3300020473_9,aerobe
3300029611_23,anaerobe
3300008148_8,facultative
3300025105_22,aerobe
3300005838_8,aerobe
3300027844_59,aerobe
3300025702_38,anaerobe
3300012258_2,aerobe
